Family,Sample ID,nucleus,plate,line,pcr,Sort Index X,Sort Index Y,Date,Time (sec),355-448/59-Height,488-FSC1-Height,488-FSC2-Height,488-SSC-Height,488-530/40-Height,488-576/21-Height,488-664/22-Height,355-448/59-Area,488-FSC1-Area,488-FSC2-Area,488-SSC-Area,488-530/40-Area,488-576/21-Area,488-664/22-Area,355-448/59-Width,488-FSC1-Width,488-FSC2-Width,488-SSC-Width,488-530/40-Width,488-576/21-Width,488-664/22-Width,488-530/40-Height-Log,488-SSC-Height-Log,488-FSC1-Height-Log,488-530/40-Area-Log,pcr_b,pcr_cb,pcr_cf,pcr_cm,pcr_cn,pcr_f,pcr_m,pcr_n
Acaulosporaceae,acolom,9,855,TRUE,f,2,B,2018-03-06,11.16730346,0.00075363,5.11327493,10.43950962,4.60381382,11.63997655,29.35894002,8.37998227,0.0001207,4.04022881,8.20308342,3.5444815,10.54773496,26.62591036,7.44275998,0,6.0546875,5.859375,5.6640625,6.25,6.25,6.25,2.454445428,1.526885051,1.631840085,2.355911141,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Acaulosporaceae,acolom,0,855,TRUE,n,3,B,2018-03-06,50.61989352,0.00059782,1.03970333,2.07186923,0.92080757,13.61876098,33.8678008,8.13451898,0.00012561,0.97109368,1.91705644,0.96213913,13.25877323,32.43604988,8.19140191,0,6.640625,6.640625,7.6171875,6.640625,6.640625,6.8359375,2.611448326,-0.0825042005,0.03893541284,2.584659464,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Acaulosporaceae,acolom,10,855,TRUE,f,4,B,2018-03-06,53.05992355,0.00174968,1.21759707,2.37562424,0.93766809,16.87896029,42.54588546,11.02481094,0.00076203,0.80633168,1.5755655,0.61349408,11.67547214,29.33455238,7.53110396,0,5.078125,4.8828125,4.8828125,5.078125,5.078125,4.8828125,2.826067893,-0.06435924121,0.1968793017,2.457490243,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Acaulosporaceae,acolom,0,855,TRUE,n,5,B,2018-03-06,53.74412073,0.00097905,4.89627384,9.70811611,8.10491131,5.82537027,14.55105362,4.69131507,0.00047421,4.69968515,9.29935449,5.96109468,5.40059151,13.52618763,4.30273896,0,7.421875,7.421875,5.2734375,6.8359375,6.640625,6.8359375,1.762222563,2.092470212,1.588474475,1.686508486,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Acaulosporaceae,acolom,0,855,TRUE,n,6,B,2018-03-06,126.0778321,0.00095922,0.83379671,1.65878246,0.52617248,16.90406385,41.694735,10.16843864,0.00032326,0.63263644,1.24385033,0.40729686,12.50281034,30.84132383,7.60648716,0,5.078125,4.8828125,5.859375,5.46875,5.2734375,5.46875,2.827554058,-0.6421262112,-0.1817656593,2.525953446,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Acaulosporaceae,acolom,11,855,TRUE,cf,7,B,2018-03-06,189.225164,0.00065747,3.35220145,6.5941385,10.0987108,16.19748734,39.63018284,10.96736421,0.00015537,2.37999326,4.66537038,7.25346983,13.87245807,33.67393963,9.12377062,0,4.8828125,4.8828125,5.078125,6.25,6.25,6.0546875,2.784856128,2.312407772,1.209617279,2.629905441,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Acaulosporaceae,acolom,11,855,TRUE,cf,7,B,2018-03-06,194.3199056,0.00073188,2.39303126,4.73188786,3.15867681,7.73940482,19.78298137,5.09876129,0.00032242,1.90112083,3.7520814,2.47090589,5.36458583,13.95679075,3.95474369,0,6.0546875,6.0546875,5.6640625,5.078125,4.8828125,5.46875,2.046324788,1.150153209,0.8725608719,1.679819175,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Acaulosporaceae,acolom,11,855,TRUE,cf,7,B,2018-03-06,202.5138431,0.00130334,0.35398779,0.72677704,1.01203648,12.6797244,31.01261496,8.25400236,0.00052836,0.3416009,0.70092322,0.73233286,9.19479986,22.45114421,5.87972114,0,6.8359375,6.640625,5.2734375,5.2734375,5.2734375,5.2734375,2.540004214,0.01196461765,-1.038492858,2.218638092,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Acaulosporaceae,acolom,11,855,TRUE,cf,7,B,2018-03-06,210.9132798,0.0008482,1.85255539,3.79495653,4.89999154,10.30009981,24.6734954,7.33169872,0.00023118,1.51146678,3.06277031,3.77725079,7.1037543,17.12371696,4.95068086,0,6.0546875,6.0546875,5.6640625,5.078125,4.8828125,4.8828125,2.332153585,1.589233479,0.6165659779,1.960623419,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Acaulosporaceae,acolom,11,855,TRUE,cf,7,B,2018-03-06,220.1457849,0.00122292,3.75968823,7.41393585,2.14974284,20.11378538,49.68818143,12.96341354,0.0004313,4.17552258,8.21899972,2.3398777,20.90148719,52.00423625,14.06496968,0,8.0078125,8.0078125,8.3984375,7.8125,7.8125,8.0078125,3.00140542,0.7653482257,1.324336036,3.039820314,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
